pl_name,stars,moons,disc_year,orbital period,radius,mass,solar radius,solar mass,rotational velocity,distance,gaia magnitude
TOI-5398 b,1,0,2022,10.590547,10.3,58.7,1.05,1.15,7.5,130.855,9.98233
TOI-5398 c,1,0,2023,4.77271,3.52,11.8,1.05,1.15,7.5,130.855,9.98233
TOI-540 b,1,0,2020,1.2391491,0.903,0.674,0.19,0.16,13.5,14.0022,12.8938
TOI-544 b,1,0,2022,1.548352,2.018,2.89,0.62,0.63,5.66956591796875,41.1166,10.4143
TOI-544 c,1,0,2023,50.089,4.92,21.5,0.62,0.63,5.66956591796875,41.1166,10.4143
TOI-5542 b,1,0,2022,75.12375,11.31,419.5335,1.06,0.89,3.03,348.849,12.2819
TOI-558 b,1,0,2021,14.574071,12.173,1147.36055,1.5,1.35,7.8,402.63,11.3253
TOI-559 b,1,0,2021,6.9839095,12.229,1910.14873,1.23,1.03,4.08,233.266,10.9777
TOI-561 b,1,0,2020,0.4465688,1.425,2.0,0.84,0.81,2.0,85.799,10.0128
TOI-561 c,1,0,2020,10.778831,2.91,5.39,0.84,0.81,2.0,85.799,10.0128
TOI-561 d,1,0,2020,25.7124,2.82,13.2,0.84,0.81,2.0,85.799,10.0128
TOI-561 e,1,0,2020,77.03,2.55,12.6,0.84,0.81,2.0,85.799,10.0128
TOI-5616 b,1,0,2024,2.002849,10.78,624.0,0.65,0.67,3.0,390.415,15.6306
TOI-5634 A b,2,0,2024,2.2035373,10.42,588.0,0.54,0.56,2.0,306.144,15.9978
TOI-564 b,1,0,2020,1.651144,11.433,464.98529,1.09,1.0,5.66956591796875,199.581,11.1424
TOI-5678 b,1,0,2023,47.73022,4.91,20.0,0.94,0.91,3.1,165.393,11.1483
TOI-5704 b,1,0,2023,3.771116,3.227,10.5,0.76,0.73,5.66956591796875,89.637,11.2746
TOI-5720 b,1,0,2024,1.4344555,1.09,4.3,0.38,0.38,3.4,35.8256,12.8215
TOI-5799 b,1,0,2024,4.164753,1.625,3.27,0.33,0.34,5.66956591796875,27.8123,12.3212
TOI-5803 b,1,0,2023,5.38305,3.273,10.7,0.76,0.87,5.66956591796875,84.0126,10.4782
TOI-6008 b,1,0,2024,0.8574347,1.03,4.0,0.24,0.23,5.66956591796875,23.1008,13.7122
TOI-6029 b,1,0,2024,5.7987,14.392,519.64945,2.34,1.55,10.4,603.119,12.2681
TOI-6034 b,2,0,2024,2.576184,11.92,254.0,0.49,0.51,2.0,117.992,14.3143
TOI-6086 b,1,0,2024,1.3888725,1.18,1.76,0.26,0.25,5.66956591796875,31.4566,13.6971
TOI-615 b,1,0,2023,4.6615983,18.977,138.25536,1.73,1.45,16.3,360.408,10.5775
TOI-620 b,1,0,2022,5.0988179,3.76,13.6,0.55,0.58,3.0,33.0231,11.3104
TOI-622 b,1,0,2023,6.402513,9.236,96.30201,1.42,1.31,19.0,123.297,8.89103
TOI-6255 b,1,0,2024,0.23818244,1.079,1.44,0.37,0.35,5.66956591796875,20.3167,11.6345
TOI-628 b,1,0,2021,3.4095675,11.882,2011.8639,1.34,1.31,6.9,178.68,10.0579
TOI-640 b,1,0,2021,5.0037775,19.851,279.6904,2.08,1.54,6.1,341.997,10.4006
TOI-654.01,1,0,2024,1.5275657,2.371,6.22,0.43,0.53,5.66956591796875,57.7553,13.4339
TOI-663 b,1,0,2024,2.598902,2.27,4.45,0.51,0.51,5.66956591796875,64.2308,12.8191
TOI-663 c,1,0,2024,4.6955507,2.26,3.65,0.51,0.51,5.66956591796875,64.2308,12.8191
TOI-663 d,1,0,2024,7.1027268,1.92,5.2,0.51,0.51,5.66956591796875,64.2308,12.8191
TOI-669 b,1,0,2023,3.945152,2.586,10.0,0.99,0.92,5.66956591796875,142.867,10.6364
TOI-672 b,1,0,2023,3.633575,5.26,24.1,0.54,0.54,5.66956591796875,66.9071,12.7364
TOI-674 b,1,0,2021,1.977143,5.25,23.6,0.42,0.42,0.4,46.0851,13.0914
TOI-677 b,1,0,2020,11.2366,13.115,392.83788,1.28,1.18,7.8,141.812,9.66082
TOI-700 b,1,0,2020,9.977219,0.914,0.704,0.42,0.42,5.66956591796875,31.1265,12.0665
TOI-700 c,1,0,2020,16.051137,2.6,7.27,0.42,0.42,5.66956591796875,31.1265,12.0665
TOI-700 d,1,0,2020,37.42396,1.073,1.25,0.42,0.42,5.66956591796875,31.1265,12.0665
