pl_name,stars,moons,disc_year,orbital period,radius,mass,equilibrium temp,solar radius,solar mass,rotational velocity,distance,gaia magnitude
Kepler-1712 b,1,0,2021,13.81499958,2.284,5.83,391,0.51,0.52,,156.264,14.1997
Kepler-1713 b,1,0,2021,18.01160049,1.717,3.59,900,1.46,1.3,,295.293,10.8652
Kepler-1714 b,1,0,2021,10.27530003,3.264,10.7,1211,2.09,1.45,,409.46,10.9663
Kepler-1715 b,1,0,2021,35.59730148,4.14,16,646,1.21,1.08,,522.605,12.3012
Kepler-1716 b,1,0,2021,35.58100128,2.425,6.46,408,0.68,0.75,,195.439,12.9403
Kepler-1717 b,1,0,2021,30.65279961,2.989,9.21,780,1.64,1.16,,1008.79,13.3
Kepler-1718 b,1,0,2021,135.1880035,2.569,7.12,345,0.91,0.85,,375.522,12.735
Kepler-1719 b,1,0,2021,6.14955998,3.95,14.8,1287,1.78,1.08,,905.406,13.3258
Kepler-172 b,1,0,2014,2.940309,2.35,6.12,1256,1.08,1,,828.592,14.5369
Kepler-172 c,1,0,2014,6.388996,2.86,8.55,970,1.08,1,,828.592,14.5369
Kepler-172 d,1,0,2014,14.627119,2.25,5.69,736,1.08,1,,828.592,14.5369
Kepler-172 e,1,0,2014,35.118736,2.76,8.05,550,1.08,1,,828.592,14.5369
Kepler-1720 b,1,0,2021,12.70639992,3.216,10.4,697,0.84,0.94,1.3,629.445,14.6634
Kepler-1721 b,1,0,2021,4.59238005,3.119,9.9,924,0.8,0.89,,641.374,14.8762
Kepler-1722 b,1,0,2021,9.17856979,2.867,8.58,753,0.79,0.88,,772.283,14.8579
Kepler-1723 b,1,0,2021,39.75289917,2.88,8.65,568,1.01,0.96,,811.278,14.2875
Kepler-1724 b,1,0,2021,6.45442009,2.837,8.43,999,0.94,1.02,,1060.77,14.8169
Kepler-1725 b,1,0,2021,16.71990013,2.813,8.31,767,1.08,1.05,,558.652,13.0267
Kepler-1726 b,1,0,2021,18.39629936,2.509,6.84,582,0.8,0.88,,390.552,13.6766
Kepler-1727 b,1,0,2021,9.02929974,3.173,10.2,757,0.82,0.82,,894.187,15.3759
Kepler-1728 b,1,0,2021,4.78299999,2.955,9.04,886,0.81,0.89,,651.783,15.084
Kepler-1729 b,1,0,2021,4.22097015,3.894,14.4,595,0.52,0.54,,576.181,15.6458
Kepler-173 b,1,0,2014,4.263742,1.29,2.21,1179,0.95,0.79,,833.165,14.2578
Kepler-173 c,1,0,2014,8.005777,2.43,6.48,956,0.95,0.79,,833.165,14.2578
Kepler-1730 b,1,0,2021,13.81019974,4.485,18.4,833,1.14,1.01,,1427.08,15.3758
Kepler-1731 b,1,0,2021,21.76129913,2.933,8.92,486,0.72,0.78,,169.948,12.4974
Kepler-1732 b,1,0,2021,32.31240082,4.099,15.7,699,1.49,1.04,,1289.41,14.7163
Kepler-1733 b,1,0,2021,9.22957993,3.636,12.8,1021,1.25,1.27,,2080.51,15.357
Kepler-1734 b,1,0,2021,6.7968502,3.089,9.74,985,0.97,1.05,,1482.83,15.3171
Kepler-1735 b,1,0,2021,7.71792984,1.194,1.84,502,0.51,0.54,,245.303,15.2237
Kepler-1736 b,1,0,2021,37.81029892,3.877,14.3,566,0.97,0.98,,1430,14.6161
